티커,배당락일,직전_배당락일,배당금액_n,직전_배당금액_n,배당금액_s,직전_배당금액_s,수정배당금액_s,직전_수정배당금액_s,수정배당금액_y,직전_수정배당금액_y,수정배당금액_d,직전_수정배당금액_d,조정팩터_s,직전_조정팩터_s,지급주기_s,직전_지급주기_s,배당유형_s,직전_배당유형_s,지급주기 변동
AVGO,2024-09-19,2024-06-24,0.53,5.25,0.53,5.25,0.53,0.525,0.53,0.525,0.53,0.525,1.0,10.0,QUARTERLY,QUARTERLY,Regular,Regular,N
BAX,2024-11-29,2024-08-30,0.17,0.29,0.17,0.29,0.17,0.29,0.17,0.29,0.17,0.29,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular,N
BCC,2024-12-02,2024-09-03,0.21,5.0,0.21,0.21,0.21,0.21,0.21,5.21,0.21,5.21,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular,N
FANG,2024-11-14,2024-08-15,0.9,2.34,0.9,2.34,0.9,2.34,0.9,2.34,0.9,2.34,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular,N
G,2024-12-09,2024-09-11,0.1525,0.1525,0.1525,0.1525,0.1525,0.1525,,0.153,0.1525,0.153,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular,N
LRCX,2024-12-11,2024-09-17,0.23,2.3,0.23,2.3,0.23,0.23,0.23,2.3,0.23,2.3,1.0,10.0,QUARTERLY,QUARTERLY,Regular,Regular,N
OTTR,2024-11-15,2024-08-15,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675,0.468,0.468,0.4675,0.468,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular,N
TRI,2024-11-21,2024-08-15,0.54,0.54,0.54,0.54,0.54,0.54,,0.54,0.54,0.5401,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular,N
TTEK,2024-11-27,2024-08-15,0.058,0.29,0.058,0.29,0.058,0.058,0.058,0.29,0.058,0.29,1.0,5.0,QUARTERLY,QUARTERLY,Regular,Regular,N
WRB,2024-12-16,2024-12-16,0.08,0.5,0.08,0.08,0.08,0.08,,,0.5,0.5,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular,N
